model_name,method,gpu_model,tokens_per_sample,batch_size,number_gpus,number_nodes,measured_throughput,measured_total_time
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,1024,2,4,1,8132.55,245.93
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,1024,8,1,1,2826.48,707.59
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,2048,8,4,1,9670.9,206.81
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,2048,16,4,1,10129.19,197.45
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,256,1,2,1,5123.4,390.37
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,256,8,2,1,5671.64,352.63
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,512,2,8,1,19826.71,100.87
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,512,8,4,1,11371.53,175.88
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,512,16,4,1,11450.63,174.66
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,512,16,8,1,21741.99,91.99
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,1024,16,2,1,6146.86,325.37
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,2048,1,2,1,5114.74,391.03
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,2048,4,8,1,20024.89,99.88
llama3.2-3b,full,NVIDIA-A100-SXM4-80GB,512,16,2,1,11260.35,177.61
llama3.2-3b,full,NVIDIA-A100-SXM4-80GB,2048,4,2,1,10524.39,190.03
llama3.2-3b,full,NVIDIA-A100-SXM4-80GB,2048,16,4,1,22807.99,87.69
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,256,2,2,1,11195.9,178.64
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,256,8,4,1,22550.46,88.69
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,512,4,8,1,37930.59,52.73
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,1024,1,8,1,35674.11,56.06
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,1024,2,1,1,6417.12,311.67
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,1024,16,1,1,6996.11,285.87
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,1024,16,4,1,24170.75,82.74
llama3.2-3b,lora,NVIDIA-A100-SXM4-80GB,2048,8,2,1,12157.88,164.5
mistral-7b-v0.1,full,L40S,512,4,2,1,974.5,2052.33
mistral-7b-v0.1,full,L40S,512,8,1,1,698.67,2862.6
mistral-7b-v0.1,full,L40S,1024,16,8,1,5052.03,395.88
mistral-7b-v0.1,full,L40S,2048,2,1,1,641.18,3119.26
mistral-7b-v0.1,full,L40S,2048,4,4,1,3945.54,506.9
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,256,4,4,1,3872.62,516.45
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,512,4,4,1,5103.78,391.87
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,512,8,2,1,4339.06,460.93
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,1024,1,2,1,2654.84,753.34
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,1024,2,1,1,2564.81,779.78
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,1024,16,1,1,3138.65,637.22
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,2048,1,1,1,2372.3,843.06
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,256,2,4,1,6650.89,300.71
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,512,2,2,1,4369.17,457.75
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,512,2,8,1,16350.01,122.32
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,512,4,4,1,10104.3,197.94
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,512,8,1,1,3181.73,628.59
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,1024,2,1,1,2857.68,699.87
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,1024,2,4,1,9620.92,207.88
mistral-7b-v0.1,full,NVIDIA-A100-SXM4-80GB,2048,4,8,1,21086.8,94.85
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,256,1,8,1,25466.67,78.53
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,256,2,4,1,13842.16,144.49
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,512,16,1,1,4311.82,463.84
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,1024,1,8,1,25154.47,79.51
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,1024,8,4,1,14484.33,138.08
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,2048,1,1,1,3594.04,556.48
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,2048,1,8,1,24390.82,82.0
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,2048,2,2,1,7474.03,267.59
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,2048,4,1,1,4026.29,496.74
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,2048,8,2,1,8029.11,249.09
mistral-7b-v0.1,gptq-lora,NVIDIA-A100-SXM4-80GB,2048,16,4,1,15308.86,130.64
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,512,2,1,1,3090.0,647.25
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,512,4,1,1,3377.04,592.23
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,512,8,1,1,3521.9,567.87
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,1024,1,8,1,20113.19,99.44
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,1024,2,8,1,21486.49,93.08
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,1024,4,4,1,11314.65,176.76
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,1024,8,2,1,6325.3,316.19
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,1024,16,8,1,24496.98,81.64
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,2048,2,8,1,21033.21,95.09
mistral-7b-v0.1,lora,NVIDIA-A100-80GB-PCIe,2048,4,2,1,5987.46,334.03
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,256,1,1,1,3295.38,606.91
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,256,1,2,1,6316.25,316.64
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,256,4,2,1,7105.73,281.46
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,256,8,4,1,13947.52,143.39
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,256,8,8,1,27855.41,71.8
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,256,16,8,1,29472.88,67.86
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,512,1,8,1,25512.75,78.39
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,512,2,1,1,3364.45,594.45
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,512,8,4,1,13855.54,144.35
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,1024,2,8,1,27017.47,74.03
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,2048,1,4,1,12561.24,159.22
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,2048,16,8,1,29298.03,68.26
